Date,Jump,Bark_in,Bark_outside ,Attack,Harass_cats,Destroy,Chase_me,Time_out,Walk,Play_outside,Play_inside,Training_session,Crate_session,Enrichment
2021-12-21,4,11,4,2,4,1,NA,0,0,2,0,2,1,NA
2021-12-22,2,20,4,2,3,0,NA,2,0,3,3,2,1,NA
2021-12-23,1,3,1,1,7,0,NA,0,0,4,1,0,0,NA
2021-12-24,3,12,3,0,5,1,NA,1,2,2,1,1,0,NA
2021-12-25,2,8,3,2,3,0,NA,0,2,3,2,2,1,NA
2021-12-26,5,6,1,2,4,0,NA,0,2,2,3,0,0,NA
2021-12-27,0,6,1,0,3,0,NA,2,1,3,1,0,0,NA
2021-12-28,0,5,1,0,6,0,NA,3,1,2,0,0,0,NA
2021-12-29,0,5,1,1,7,1,NA,0,1,2,2,1,0,NA
2021-12-30,2,4,2,1,6,0,NA,0,2,0,1,1,0,NA
2021-12-31,1,5,1,0,5,0,NA,0,1,1,0,0,0,NA
2022-01-01,0,3,0,2,4,0,NA,1,2,3,0,0,1,NA
